trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
82,False,"{'a': 0.8, 'e': 0.000148720999405116}",20,13,9.797936627541393,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.8, 'e': 0.00014515894904920887}",25,6,30.09509773259461,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.8, 'e': 0.0001417233560090703}",20,11,15.734715420329138,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.8, 'e': 0.0001384083044982699}",20,0,11.934614946770624,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
86,False,"{'a': 0.8, 'e': 0.00013520822065981613}",20,2,31.07173015311892,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.8, 'e': 0.0001321178491214163}",20,11,15.614688383115743,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.8, 'e': 0.00012913223140495868}",35,16,28.443361678651264,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.8, 'e': 0.00012624668602449185}",20,0,25.83937585016615,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
90,False,"{'a': 0.8, 'e': 0.0001234567901234568}",25,0,36.18254360987988,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
91,False,"{'a': 0.8, 'e': 0.00012075836251660427}",25,14,19.84094725997925,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.8, 'e': 0.00011814744801512288}",35,21,26.544614657400082,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.8, 'e': 0.00011562030292519366}",20,6,24.30397500224223,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.8, 'e': 0.00011317338162064282}",20,13,14.49980399776036,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.8, 'e': 0.00011080332409972299}",20,10,20.343921766640324,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.8, 'e': 0.00010850694444444444}",25,0,34.89570021972299,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
97,False,"{'a': 0.8, 'e': 0.00010628122010840685}",25,16,18.18112493767905,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.8, 'e': 0.00010412328196584757}",20,6,26.761543773897284,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.8, 'e': 0.00010203040506070809}",30,16,22.482393385812212,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.8, 'e': 0.0001}",20,10,-0.3536568084263534,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
101,False,"{'a': 0.8, 'e': 9.802960494069208e-05}",20,12,11.010011624972627,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.8, 'e': 9.611687812379854e-05}",25,20,9.229841397664726,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.8, 'e': 9.425959091337543e-05}",20,13,11.531445762570058,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.8, 'e': 9.245562130177515e-05}",20,0,30.551788178671732,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
105,False,"{'a': 0.8, 'e': 9.070294784580499e-05}",20,16,9.353743200741022,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
